"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "XML", "TypeScript JSX", "MS SQL", "CSS", "comment", "blank", "total"
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\cartDetails\getProducts\route.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 3, 31
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\cartDetails\removeProduct\route.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 8, 42
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\cartDetails\route.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 18, 10, 69
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\orders\getOrders\route.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 2, 10, 50
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\orders\route.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 17, 6, 67
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\products\getProductById\route.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\products\route.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 1, 7, 73
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\relatedProducts\route.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 18, 8, 54
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\searchProducts\route.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\wishlist\route.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 11, 6, 57
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 70, 3, 14, 87
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 3, 6, 61
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\models\OrderShcema.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\models\UserSchema.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 3, 66
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 9, 85
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 3, 95
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\HomePage\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 7, 296
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\HomePage\TopSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\Loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\Mapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 6, 56
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 5, 210
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\SessionWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\SideSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\TopCardSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 4, 63
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\TopFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\account\AccountForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 2, 9, 97
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\checkout\checkoutForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 18, 251
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\contact\ContactForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 7, 105
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\context\context.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\login\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 4, 69
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\orders\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 7, 66
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\products\MainPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 203, 0, 0, 4, 12, 219
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\products\RelatedProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
